question,answer
price of French Fries?,"price start from AED 17 to 30"
Price of Fresh chicken Burger,"Fresh Burger Beef- price start from AED 16 to 26"
Price of Potato Rings,"15 aed"
Price of Milkshakes?,"Oreo Milkshake, Lotus Milkshake, Kitkat Milkshake- 14 aed"
Price of Orange Juice,"All juices price is 12 aed except Passion Fruit Mango Mix- 16 aed"
price of Bottle Juices,"depends on size you can explore our menu book"
price of Karak Tea?,"1 aed"
price ok coffee?,"2 AED"
price of Mojito?,"Mojito price is 16 aed- Passion Fruit Mojito, Blue Lagoon Mojito, Strawberry Mojito"
quantity of the shawarma?,"normal shawarma can serve one person and the family pack depends the size arabic double  can serve for 2 people , 20 pieces"
do u have shawarma other than chicken?,"No we are currently have only chicken shawarma"
variety of Milkshakes and price?,"we have Lotus ,oreo,Kitkat milkshakes price start from 14aed"
what makes your shawarma is different from others?," We deliver the rich, smoky flavors of Turkish-style shawarma using their own blend of spices and traditional methods. The menu revolves around this signature charcoal shawarma, enhanced by a variety of refreshing juices, hot and cold beverages, and flavorful sides, all crafted to leave a lasting impression."
have any job there?,"About the technical  enquiry  you can directly contact to our team"
Do you have shawarma?,"Yes, we serve delicious charcoal chicken shawarma."
Do you sell shawarma?,"Yes, we do! Explore our shawarma options in the menu."
I want a shawarma,"Great choice! Check our shawarma options and order now."
have any recommendation,"Based on your history you can go with the recommendation option or popular items,our most selling items are Shawarma Arabic Double and Passion fruit with mango juice"



